Utterance,Start,End,Group,Participant,Transcript
0,3.45,7.14,1,4,I just need to calibrate my cameras real quick
1,9.87,12.45,1,4,Alright so
2,12.63,15.75,1,4,The task that you are doing today is called the weights task
3,16.2,21.36,1,4,In the first part you are going to work together to determine the weight of 5 cubes
4,22.17,24.27,1,4,Um and then
5,24.42,27.72,1,4,And we will tell you that this red cube on top is ten grams
6,29.08,29.83,1,1,Ok yeah  
7,29.84,31.32,1,4,So uh
8,31.44,34.56,1,4,You don't need to touch the slider on the scale don't worry about that part at all
9,35.01,36.99,1,4,Oh
10,37.83,47.82,1,4,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes
11,48.27,52.25,1,4,And uh as you are filling it out if you guys can fill out the survey you will be group one
12,52.58,54.84,1,1,Oh and we don't touch the scale yet
13,54.93,58.29,1,4,Um you can touch the scale just like there's a slider
14,58.33,58.84,1,3,It's right there
15,59.22,60.92,1,4,But like you dont need to do anything with the slider
16,60.66,62.49,1,1,Ok so you want us to
17,62.58,65.18,1,1,Use the scale to determine the weights ok cool
18,64.91,69.66,1,4,Yes um and if you guys can fill out that survey like as you go because you'll be submitting answers on there
19,69.81,71.51,1,1,Where's the survey oh ok
20,70.01,70.51,1,3,Um it's turned off
21,72.25,73.53,1,4,Oh
22,75.81,77.17,1,4,And you guys will be group one
23,77.51,77.75,1,2,Ok
24,78.08,80.58,1,1,Ok well it would be nine minus ten
25,78.08,78.58,1,3,One
26,80.58,84.3,1,2,That's ten so then
27,86.07,87.41,1,1,Just like put it on
28,87.48,89.04,1,2,Does the slider move
29,90.12,92.13,1,1,Hold on lets just uh
30,95.19,97.17,1,3,It seems pretty balanced
31,97.56,102.03,1,1,Yeah ok so now we know that this is also ten
32,102.39,105.87,1,1,Um ok so now
33,104.08,104.58,1,2,Ok
34,106.23,110.01,1,1,What would we maybe put that one on there too
35,108.63,109.33,1,2,Cool
36,110.16,114.24,1,1,And then see if there's thats twenty which is not
37,112.16,112.92,1,2,It's more
38,114.87,120.33,1,1,Lets try this one oh gee louise this one
39,117.41,118.25,1,3,No  
40,121.2,125.01,1,1,Ok lets just oops sorry
41,127.35,132,1,2,Ok so this one is probably twenty ten ten twenty
42,128.83,130.08,1,3,Yeah seems about twenty
43,128.41,130.75,1,1,Ok so ten ten twenty
44,132.27,139.65,1,1,Ok so now lets start at thirty alright put one of those on there
45,135.33,135.91,1,3,Yes  
46,135.73,136.41,1,2,Yeah thirty
47,140.73,145.89,1,1,Ooh its looking like thirty
48,142.91,144.92,1,2,Probably thirty at this point
49,148.86,159.42,1,1,Ok so we got ok yeah this one is really heavy so lets do the a this and a ten
50,149.25,154.25,1,2,Yeah ten ten twenty thirty
51,153.21,155.25,1,3,Twenty thirty forty
52,159.6,163.86,1,3,So fourty pounds
53,162.91,163.86,1,1,Yeah
54,164.37,167.91,1,3,Fifty pounds or pounds grams
55,169.31,171.99,1,1,Interesting so that's ten twenty
56,172.56,183.58,1,1,So we said this ones thirty I still feel like that's heavier and this one is twenty
57,174.54,185.08,1,2,Yeah yeah the blue dark blue one is thirty that's the larger one it's slightly heavier yeah
58,185.33,187.83,1,3,We can replace one of these with the twenty to get
59,188.1,189.5,1,3,Sixty here
60,189.91,196.44,1,1,Ok and then put that on that one
61,198.15,202.14,1,2,How much is the dark blue small one ten
62,200.31,201.37,1,1,Ten they're both
63,203.49,204.34,1,1,Assuming that this was
64,204.58,206.37,1,2,Oh gosh I think I got them mixed up
65,207.06,210.87,1,1,Yeah Im thinking that it's ten ten twenty thirty
66,211.29,213.93,1,1,So what have we done weve done forty
67,214.47,216.45,1,1,Um
68,216.63,219.06,1,1,And then we did fifty
69,216.16,217.66,1,2,It's just like slightly 
70,219.33,221.49,1,1,And then we did sixty
71,228.06,231.51,1,1,And now it stopped being too heavy
72,231.54,233.52,1,1,So this is supposedly
73,234.27,239.82,1,1,Thirty fourty fifty correct and it's still heavier than this thing
74,235.83,237.58,1,2,Fifty yeah
75,240.84,242.82,1,1,So have we done forty
76,251.88,258.72,1,1,So thirty this is also forty right so this if forty yeah
77,254.63,255.31,1,2,Ok so that one's twenty right
