Utterance,Start,End,Group,Participant,Transcript
0,3.9,6.4,10,4,Let me Calibrate my cameras real quick Oh I'm just
1,14.67,19.08,10,3,Oh okay
2,7.37,7.65,10,3,Sorry
3,15.38,18.92,10,4,Okay The test that you are completing today is called the weights test The test that you are completing today is called the weights test
4,19.67,23.17,10,4,In part one you will work together to determine the weights of the five colorful cubes
5,24.01,26.75,10,4,I will tell you that the red cube is ten grams
6,27.57,30.84,10,4,You will determine the weights of the remaining cubes using the scale here
7,31.53,42.59,10,4,All of the weights are intervals of ten grams so you don't need to use the slider um and the scale is not perfect so as long as one side doesn't drop you can assume the weights are fairly equal
8,43.52,51.002,10,4,You must place the cubes onto this worksheet once you have determined their weight and also enter their weight in the survey on the computer
9,51.75,54.58,10,4,Uh you can now start the survey You guys are gonna be group number ten
10,55.33,57.08,10,3,Okay so the red is ten grams?
11,57.33,57.4,10,2,Yeah
12,57.59,58.32,10,3,Okay  
13,58.47,59.92,10,1,So I suppose like
14,60.67,65.67,10,1,Let's assume that the bigger ones are 
15,66.58,70,10,2,Let's put two yeah Red one as well
16,68.25,69.5,10,1,We can put that other one here too
17,71.73,72.25,10,3,Hmmm
18,74,74.98,10,2,Too hard a selection
19,78.08,79.06,10,1,Yeah I suppose
20,79.58,82.08,10,3,I guess this is like twenty and this is like ten and ten
21,82.33,82.84,10,2,Hopefully
22,82.97,87.91,10,3,I mean what why didn't we first check out whether these two are equal They are of equal size but
23,85.41,86.17,10,1,Yeah
24,87.41,90.17,10,2,They're the same Uhhhh just don't want to touch it
25,96.5,98,10,3,It looks like they're fairly equal
26,100,101.08,10,2,Yeah I suppose
27,100.84,102.85,10,3,Right so then that's twenty these two are ten
28,104.33,105.32,10,2,Let's see
29,104.59,106.59,10,1,That would make sense to me
30,108.83,110.92,10,2,Just a sec let it settle for the
31,111.42,111.62,10,3,Mmhmm
32,115.17,115.92,10,3,Hmmm
33,117.42,119.17,10,3,Looks fairly equal to me yeah
34,117.46,118.87,10,2,Yeah they're together
35,119.75,128.25,10,3,Alright Well now let's do these two I can already tell this one's heavier yeah
36,119.75,129.84,10,2,Yeah they're they're equal Heavier So let's put the ten one ten
37,123,123.75,10,1,You can just
38,130.33,131.08,10,2,Let's put one ten
39,132.58,133.08,10,2,Let's see
40,136.34,142.91,10,1,I say they are equal Those are the instructions I suppose
41,138.43,139.92,10,2,Yeah fairly equal but let's see
42,142.92,144.13,10,3,We gotta be
43,145.5,146,10,3,Oh
44,146.28,150.25,10,3,Try this one out as well like after some time wait wait wait let's let's see if it balances
45,149.75,150.11,10,2,Yeah
46,151.46,153,10,3,Cause I have a feeling this is a little more
47,157.81,163.33,10,1,I'm not sure was uh just a bit more like we would be able to tell the difference
48,161.42,163.39,10,2,Just a second just a sec
49,166.41,167.67,10,3,Like you would be able to see it right?
50,167.39,170,10,2,Yeah yeah yeah yeah Just a sec
51,171.5,173.26,10,2,Stop now please
52,180.78,202.56,10,2,I'm guessing it's a little bit to the left a little bit to the left like It touches the red line but on the left hand side of the left line red it's gonna be heavier Like not equal but almost almost equal How do wait how do we know this one's twenty did we no we didn't
53,184.06,202.21,10,3,Yeah so let's try to put that on top and see Okay so it's definitely not like fourty Like thirty two thirty three what do you say Cause this one's twenty this one's ten Cause we did it
54,203.33,216.41,10,2,We we moved it and checked the two tens remember we didn't do this one Okay yeah sure sure sure yeah yeah put thirty Thirty yeah
55,207.46,217,10,3,Yeah but then when we have the two yeah Yeah yeah so I would say around thirty two or something
56,208.39,212.15,10,1,To begin with also like we don't really have time to do this
