Utterance,Start,End,Group,Participant,Transcript
0,0.33,4.32,4,4,Ok I'm going to callibrate my cameras
1,11.67,14.1,4,4,I'm sorry I feel like this didn't catch up
2,14.64,16.71,4,4,Ok  
3,21.05,23.97,4,1,I don't know if I have to be serious or not
4,21.5,22.25,4,2,That was awkward
5,24.96,32.4,4,4,So the task you are completing today is called the weights task in the first part you are going to work together to determine the weights of the cube
6,33.3,36.24,4,4,I will tell you that the red cube is ten grams
7,36.78,40.38,4,4,You will determine the weights of the remaining cubes using the scale provided
8,41.13,45,4,4,All of the weights are in intervals of ten grams so you don't need to use the slider
9,45.72,52.8,4,4,Um the scale is not perfect so as long as one side does not drop completely you can assume the weights are fairly equal
10,54.45,56.85,4,4,You must place the weights onto this
11,57.36,68.75,4,4,Place the cubes under the worksheet and then also fill out the survey in line as you go and you can now start oh and you're group four
12,66.41,70.8,4,3,Uh they are not all weight this has more weight oh we're group four so we press enter here
13,64.9,67.66,4,2,Ok so the red has ten
14,72.21,80.64,4,3,Well then no let's compare the red to the blue to see if we can get a baseline to the blue
15,78.08,78.33,4,2,Yeah
16,80.79,83.1,4,1,Well the top is a ten
17,83.58,83.84,4,2,Is it
18,85.12,86.13,4,1,Once it stops
19,89.82,97.32,4,1,Ok there easy so this is twenty yeah cause this is ten as long as it's not dropping it's the same
20,91.67,95.35,4,2,Is it ten and this was equal to this one
21,97.83,99.96,4,1,And then this was
22,103.08,103.67,4,1,Perfect
23,104.58,105.93,4,2,Ok
24,108.33,112.77,4,3,Put the twenty on there take off a ten
25,106.05,110.84,4,1,I feel like this one is oh yeah so this is 
26,110.18,111.34,4,2,Take off a ten
27,116.34,118.32,4,1,So it's not
28,119.94,125.75,4,1,It doesn't drop completely yeah we can consider this to be thirty then yeah because it doesn’t drop
29,123.5,127.41,4,2,Can we yeah and it's obviously not forty
30,124.15,125.03,4,3,Can we
31,127.47,130.62,4,2,Well it's not and it's not twenty yeah it's gotta be thirty
