,Utterance,Start,End,Group,Participant,Transcript,int,uns-ov
0,0,2.43,5.7,9,4,Gonna callibrate my cameras,0,0
1,1,12.39,16.2,9,4,Ok the task you are completing today is called the weights task,0,0
2,2,16.74,21.03,9,4,In the first part you guys are going to work together to determine the weights of these cubes,0,0
3,3,22.14,24.27,9,4,The red cube is ten grams,0,0
4,4,24.69,28.35,9,4,You are going to determinet the weights of the remaining cubes using this scale,0,0
5,5,29.1,33.12,9,4,Uh the weights are all in intervals of ten so you don't need to use the slider at all,0,0
6,6,33.39,36.42,9,4,All of the weights er ah sorry the scale is not perfect,0,0
7,7,36.66,41.1,9,4,So as long as it doesn't drop to one side the swaying is probably even,0,0
8,8,42.57,46.89,9,4,And if you can place the cubes on the worksheet as you go as well as fill out the survey,0,0
9,9,47.46,52.77,9,4,Alright here you guys are going to be group nine and you can go ahead and get started,0,0
10,10,54.15,57.66,9,3,Let's go,0,0
11,11,61.74,63.4,9,2,I would say that's equal probably,0,0
12,12,63.51,65.73,9,3,Looks equal yeah get,0,0
13,13,77.08,77.75,9,1, I would say that's equal,0,0
14,14,77.85,79.58,9,3,Yeah it should be same I guess,0,1
15,15,78.25,79.01,9,2,Yeah that 's good,0,0
16,16,79.83,82.33,9,1,Yeah ok so that one will go,0,0
17,17,91.05,93.03,9,3,I think it's the,0,0
18,18,96.66,97.83,9,2,Yeah it's probably equal,0,0
19,19,103.33,105.99,9,1,So we got ten ten,0,0
20,20,107.83,108.58,9,3,That's not,0,0
21,21,108.23,111.27,9,1,Definitely not equal,1,0
22,22,121.26,122.25,9,2,Ok  ,0,0
23,23,123.02,123.5,9,1,Sweet,0,0
24,24,130.26,133.35,9,1,That was twenty and ten right ok,0,1
25,25,131.58,132.83,9,3,That was twenty ten yep,0,0
26,26,133.38,135.67,9,1,Look we have the thirty gram block and then,0,0
27,27,135.33,136.77,9,3,I think yep,1,0
28,28,137.46,140.04,9,1,And then we can do,0,0
29,29,140.7,146.1,9,1,The two the yellow and green I don't know just kidding,0,0
30,30,160.22,164.84,9,2,Just like ever so slightly though so it's probably probably say that's equal,0,1
31,31,161.92,164.17,9,1,Oh yeah ok oh never mind ok ,0,0
32,32,159.72,167.91,9,3,I think it's sixty so this one was twenty,0,0
